"","Site","Lat","Long"
"346","21VASWCB-4AROA067.91",36.9153,-78.7406
"347","21VASWCB-9-STE007.29",37.1994,-80.45
"348","21VASWCB-8-MPN083.62",37.9639,-77.3429
"349","21VASWCB-3-BLU000.80",38.2375,-78.1989
"350","21VASWCB-2-WKF000.72",37.5078,-78.9367
"351","21VASWCB-5ACDR001.08",36.9797,-77.985
"352","21VASWCB-2-RRN015.61",38.2042,-78.4708
"353","21VASWCB-1ASLE000.36",38.6774,-77.5097
"354","21VASWCB-9-XEO000.57",36.7519,-80.5419
"355","21VASWCB-3-RPP150.32",38.5828,-77.8758
"356","21VASWCB-3-MIR004.05",38.3433,-77.8592
"357","21VASWCB-9-CRK003.00",36.7686,-80.9078
"358","21VASWCB-2-RTD003.08",37.5819,-79.0275
"359","21VASWCB-6BPWL004.10",36.7667,-83.0303
"360","21VASWCB-5ACHS003.42",36.9747,-78.28
"361","21VASWCB-9-WLS010.11",36.6236,-81.445
"362","21VASWCB-1BMFT006.20",38.2936,-79.1261
"363","21VASWCB-4ASNA000.20",36.825,-79.0275
"364","21VASWCB-2-BUF023.21",37.6544,-79.1033
"365","21VASWCB-3-RPP147.49",38.5289,-77.8203
"366","21VASWCB-4ALFF001.85",36.6264,-78.6289
"367","21VASWCB-2-JMS189.31",37.7972,-78.4917
"368","21VASWCB-2-JMS258.54",37.4103,-79.1342
"369","21VASWCB-6APNR001.49",37.2369,-82.3444
"370","21VASWCB-2-LCF013.93",38.0778,-79.3681
"371","21VASWCB-3-ROB001.90",38.325,-78.0956
"372","21VASWCB-3-LDR000.70",38.3894,-78.2189
"373","21VASWCB-2-SFR000.60",38.2017,-78.4503
"374","21VASWCB-2-CEL001.56",37.4439,-77.4039
"375","21VASWCB-4ABST001.13",36.6642,-78.5719
"376","21VASWCB-2-SUA003.80",37.3131,-78.7089
"377","21VASWCB-1BDUR000.02",38.3923,-78.9805
"378","21VASWCB-8-NIR003.96",38.1717,-77.5192
"379","21VASWCB-7-PET000.80",37.8469,-75.545
"380","21VASWCB-3-JET003.49",38.1915,-77.1029
"381","21VASWCB-6ADIS001.24",37.2406,-82.0325
"382","21VASWCB-4ACUB002.21",36.9983,-78.7849
"383","21VASWCB-4APGG068.49",36.9619,-79.9622
"384","21VASWCB-4AFRV010.99",37.1267,-78.96
"385","21VASWCB-5AMSN001.62",36.8548,-77.6785
"386","21VASWCB-2-SDY003.00",37.2758,-78.3217
"387","21VASWCB-6BLTR018.19",37.0283,-81.7914
"388","21VASWCB-4ALWD002.54",36.6361,-79.7919
"389","21VASWCB-5AHQS006.22",36.9036,-77.2453
"390","21VASWCB-4ACUB010.96",37.0778,-78.7639
"391","21VASWCB-4AMRR000.02",36.6133,-79.8233
"392","21VASWCB-2-WLS021.48",37.5911,-78.2583
"393","21VASWCB-1ABRB006.33",39.0094,-77.4519
"394","21VASWCB-8-ROT001.09",37.9338,-77.1624
"395","21VASWCB-1AABR000.78",39.1792,-78.0861
"396","21VASWCB-1AGOO044.36",38.9142,-77.9219
"397","21VASWCB-4ABHB008.63",36.6992,-78.4581
"398","21VASWCB-4ASRE043.54",36.7875,-80.0092
"399","21VASWCB-5ANTW016.45",36.6544,-77.0094
"400","21VASWCB-1BSSF096.03",38.335,-78.7447
"401","21VASWCB-3-IND001.14",38.5992,-77.9366
"402","21VASWCB-1BNFS010.34",38.9768,-78.3368
"403","21VASWCB-6CMFH033.40",36.8178,-81.6169
"404","21VASWCB-5ABLW013.16",36.6742,-76.9164
"405","21VASWCB-7-TOM001.73",37.1799,-75.9615
"406","21VASWCB-2-HAM000.37",37.4128,-80.021
"407","21VASWCB-1ALOA000.17",38.7233,-77.1857
"408","21VASWCB-5AASM021.22",37.0047,-77.1515
"409","21VASWCB-8-CMP000.28",38.0047,-78.1501
"410","21VASWCB-1APUR001.20",38.6915,-77.4305
"411","21VASWCB-4ABTM000.04",37.1017,-80.2194
